[run number],vote-portion-strategic,utility-distribution,number-of-voters,perceived-utility-stdev,proportion-of-strategic-voters,minority-power,y-axis,x-axis,QV?,number-of-issues,issues-correlation,correlate-n-issues,[step],item 0 total-payoff-per-issue,first issue average payoff
19,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.030729941,0.156
21,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.499959592,0.156
23,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.223817269,0.156
20,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.419982211,0.156
22,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.179356646,0.156
24,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.282095267,0.156
25,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.093770538,0.156
30,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.642677756,0.156
26,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.481068763,0.156
31,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.224266098,0.156
27,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.277248249,0.156
29,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.270667001,0.156
28,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.750687416,0.156
33,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.067047221,0.156
35,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.603330796,0.156
34,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.06591405,0.156
36,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.6439977,0.156
32,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.625460249,0.156
38,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.654466545,0.156
37,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.309072407,0.156
39,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.28477479,0.156
40,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.646351918,0.156
42,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.405875098,0.156
41,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.507651418,0.156
43,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.693447647,0.156
44,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.33496024,0.156
45,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.478113023,0.156
46,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.804410305,0.156
47,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.089006239,0.156
48,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.716764783,0.156
50,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.163644065,0.156
51,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.432917147,0.156
54,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.138495239,0.156
53,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.330400783,0.156
52,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.327207027,0.156
49,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.682864065,0.156
55,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.505857659,0.156
56,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.375149916,0.156
57,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.742625659,0.156
58,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.391251176,0.156
60,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.665297911,0.156
65,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.124795631,0.156
62,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.250167056,0.156
64,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.65879247,0.156
63,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.019179739,0.156
66,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.217367483,0.156
67,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.591093416,0.156
61,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.091987038,0.156
59,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.197794676,0.156
69,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.685097138,0.156
75,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.090369524,0.156
74,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.822044857,0.156
70,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.734313041,0.156
68,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.662678645,0.156
71,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.226261954,0.156
73,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.098008441,0.156
76,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.865564177,0.156
78,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.434090049,0.156
72,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.268365686,0.156
80,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.0468095,0.156
79,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.651562814,0.156
81,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.03422226,0.156
82,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.791904742,0.156
77,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.729405926,0.156
83,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.406039081,0.156
85,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.056361947,0.156
87,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.528047634,0.156
86,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.537724801,0.156
84,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.583751989,0.156
88,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.050083997,0.156
90,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.02825767,0.156
89,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.49773717,0.156
92,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.430202124,0.156
91,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.32773494,0.156
94,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.427840894,0.156
93,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.675354092,0.156
95,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.692519043,0.156
96,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.558986143,0.156
97,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.430302118,0.156
98,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.303607595,0.156
100,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.08993371,0.156
99,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.700368551,0.156
102,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.239094925,0.156
101,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.761847168,0.156
103,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.617184951,0.156
104,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.061507245,0.156
105,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.252129282,0.156
106,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.105944887,0.156
107,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.227037638,0.156
108,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.560144288,0.156
109,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.589531821,0.156
110,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.581997048,0.156
111,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.574474878,0.156
112,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.848031748,0.156
113,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.344163316,0.156
114,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.009929361,0.156
116,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.363722887,0.156
117,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.273300711,0.156
115,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.443404795,0.156
118,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.553295317,0.156
119,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.412097102,0.156
121,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.476541576,0.156
122,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.485394837,0.156
123,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.290572757,0.156
120,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.413965086,0.156
125,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.599528115,0.156
124,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.471447057,0.156
126,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.394707231,0.156
128,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.304695423,0.156
129,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.795542652,0.156
130,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.780216134,0.156
127,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.281974602,0.156
131,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.564788233,0.156
133,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.172144759,0.156
132,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.335198821,0.156
134,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.6875284,0.156
135,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.095286704,0.156
137,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.776743256,0.156
139,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.694493215,0.156
136,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.547923022,0.156
138,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.353722326,0.156
141,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.700721252,0.156
140,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.731591976,0.156
142,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.382777196,0.156
143,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.617846657,0.156
146,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.041043685,0.156
144,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.544382647,0.156
148,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.369239213,0.156
145,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.563594293,0.156
147,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.5361555,0.156
149,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.590064733,0.156
150,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.893004593,0.156
151,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.745492412,0.156
152,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.599923609,0.156
153,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.1485239,0.156
154,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.068091887,0.156
157,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.646432907,0.156
156,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.61546233,0.156
158,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.743867761,0.156
159,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.564906452,0.156
155,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.743752939,0.156
160,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.586891936,0.156
161,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.021768641,0.156
162,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.776753349,0.156
164,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.031052184,0.156
163,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.400659627,0.156
166,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.086840712,0.156
165,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.379370059,0.156
168,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.240203221,0.156
169,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.015441666,0.156
167,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.334044252,0.156
170,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.51297972,0.156
172,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.65031503,0.156
171,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.581849862,0.156
174,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.477323048,0.156
176,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.565835045,0.156
173,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.03100866,0.156
175,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.013781487,0.156
177,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.617702562,0.156
178,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.260181298,0.156
179,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.430634565,0.156
180,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.321092694,0.156
181,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.300561472,0.156
182,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.198781233,0.156
183,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.059481251,0.156
184,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.004609727,0.156
186,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.833597204,0.156
185,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.526688646,0.156
187,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.611271913,0.156
189,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.555564859,0.156
188,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.059022915,0.156
191,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.715174273,0.156
192,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.425520686,0.156
193,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.382167017,0.156
190,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.137486428,0.156
197,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.153198427,0.156
194,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.11512752,0.156
196,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.211214301,0.156
198,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.593531308,0.156
195,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.583696338,0.156
201,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.725665928,0.156
200,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.237088138,0.156
203,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.560793092,0.156
202,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.400441813,0.156
199,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.786768936,0.156
204,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.099001051,0.156
205,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.028813345,0.156
207,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.601481806,0.156
206,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.113220568,0.156
208,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.044074277,0.156
209,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.817520462,0.156
210,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.545050813,0.156
214,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.706783788,0.156
212,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.024760824,0.156
211,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.520632409,0.156
213,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.298300811,0.156
215,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.255367406,0.156
216,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.390794786,0.156
217,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.201114404,0.156
220,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.066947111,0.156
219,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.41118922,0.156
222,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.455786906,0.156
218,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.159117482,0.156
221,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.630664374,0.156
223,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.718952273,0.156
224,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.214856265,0.156
225,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.785160074,0.156
228,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.899562795,0.156
226,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.022423878,0.156
227,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.300104691,0.156
230,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.783551523,0.156
