[run number],vote-portion-strategic,utility-distribution,number-of-voters,perceived-utility-stdev,proportion-of-strategic-voters,minority-power,y-axis,x-axis,QV?,number-of-issues,issues-correlation,correlate-n-issues,[step],item 0 total-payoff-per-issue,mean total-payoff-per-issue,first issue average payoff,average payoff
40,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.16257502,7.651120708,1,1
42,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.09172363,6.582675447,1,1
41,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.67939351,7.501053114,1,1
38,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.02437817,7.658718174,1,1
44,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.00272107,7.685880674,1,1
43,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.11626842,6.094876708,1,1
45,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.77936882,7.354070314,1,1
46,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.25075517,8.364192972,1,1
50,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.40631232,5.841176209,1,1
49,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.16123244,9.356146147,1,1
51,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.48390901,7.98384415,1,1
53,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.36790928,7.362280651,1,1
52,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.04453115,4.484522778,1,1
47,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.51316521,8.144906447,1,1
54,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.78995714,8.385862977,1,1
55,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.30811469,7.775113708,1,1
59,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.60752984,6.22164358,1,1
57,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.7071279,10.34457411,1,1
56,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.35693641,8.399309135,1,1
60,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.07153655,5.670098722,1,1
58,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.49179218,5.584713358,1,1
48,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.48490495,7.00524635,1,1
62,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.80092579,7.229108812,1,1
65,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.36074569,8.351972605,1,1
61,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.66805328,6.420024296,1,1
66,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.36519654,6.357185553,1,1
64,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.20095759,7.557572124,1,1
67,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.4902411,5.336441647,1,1
68,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.65941025,5.170716171,1,1
69,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.55532373,12.25591212,1,1
70,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.16169413,6.200203206,1,1
71,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.0363984,7.790031334,1,1
63,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,9.97499653,7.449446217,1,1
72,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.83250277,5.1718306,1,1
73,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.47571927,7.60651812,1,1
74,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.687067,9.059551859,1,1
77,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.06453379,6.541269116,1,1
75,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.47737838,9.776499327,1,1
78,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.76681355,7.762372593,1,1
79,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.14415401,8.466297567,1,1
80,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.66725377,6.94274934,1,1
82,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.65967935,4.977781511,1,1
76,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.72667478,7.647729903,1,1
81,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.25807206,6.977907904,1,1
84,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.07512139,5.440648899,1,1
83,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,9.980159176,7.193041498,1,1
87,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.56403691,8.120661679,1,1
85,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.58865238,6.927111601,1,1
89,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.30092343,6.230592172,1,1
86,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.38578489,9.270090992,1,1
88,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.37698785,10.54247804,1,1
91,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.11937472,8.583914454,1,1
90,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.22578219,7.507954227,1,1
92,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.63309862,5.173790795,1,1
97,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.46313746,8.933980759,1,1
95,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.34625782,5.165253972,1,1
96,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.1680731,8.08308959,1,1
94,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.39612735,7.192550534,1,1
93,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.68504177,6.075369656,1,1
100,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.71557437,9.634453671,1,1
99,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.12928964,9.77484832,1,1
98,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.10489964,6.995054006,1,1
101,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.28695358,6.310776568,1,1
105,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.53534461,5.741686264,1,1
103,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.68439071,3.457977358,1,1
102,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.50218713,9.32446556,1,1
104,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.34599404,4.885926286,1,1
106,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.60839903,5.593369395,1,1
108,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.36406317,7.191397538,1,1
107,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.5694505,6.743579769,1,1
111,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.27683281,5.248207663,1,1
110,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.22005322,6.792242673,1,1
109,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.2075738,4.984479139,1,1
112,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.07391399,10.89492461,1,1
114,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.53775457,10.65469721,1,1
113,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.84348932,9.719962933,1,1
115,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.27416133,7.732478833,1,1
116,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.51968424,8.376450039,1,1
119,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.65229616,8.773214339,1,1
117,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.60798976,9.231604557,1,1
118,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.10925905,8.193165535,1,1
120,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.3349479,6.241088301,1,1
121,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.34725166,7.213368227,1,1
122,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.57121507,6.565030256,1,1
125,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.31426207,7.796983035,1,1
124,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.65542621,8.011790009,1,1
128,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.46318412,6.610642845,1,1
127,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.29193556,4.959311079,1,1
129,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.63695438,7.272927064,1,1
130,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.64903641,10.66103884,1,1
126,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.04061438,7.066813011,1,1
123,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.58503487,9.138426364,1,1
132,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.0518618,9.942306691,1,1
133,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.53188928,7.330240199,1,1
131,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.15300709,6.106954687,1,1
136,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.02466531,4.8982517,1,1
135,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.77189082,5.823948942,1,1
137,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.69327936,8.250432057,1,1
138,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.710996,8.607810859,1,1
134,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.02531002,10.24779584,1,1
140,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.00047886,7.585802469,1,1
141,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.25521241,7.413216229,1,1
139,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.70065238,9.411811349,1,1
143,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.42955038,9.89213137,1,1
142,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.23499264,6.046104042,1,1
146,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.61384343,5.065578112,1,1
144,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.05632207,7.1618358,1,1
147,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.60597984,7.368639049,1,1
145,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.2006568,6.023474592,1,1
148,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.63714315,9.921581142,1,1
149,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.27641799,4.051390494,1,1
150,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.50933579,5.039877435,1,1
151,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.64483661,8.538097455,1,1
152,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.12268213,4.017628833,1,1
154,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.68080788,9.272477816,1,1
155,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.40693964,7.811993445,1,1
156,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.71997707,5.415715798,1,1
153,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.80109854,7.880820019,1,1
157,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.40472477,6.955837498,1,1
159,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,9.960847772,7.047435598,1,1
158,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.63198748,6.488596886,1,1
160,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.41483825,8.101477755,1,1
161,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.00414222,7.824570465,1,1
163,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.40413308,6.36343093,1,1
164,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.31720736,9.85301792,1,1
162,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.65967884,7.822239156,1,1
167,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.20014364,7.260274303,1,1
165,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.63657556,3.608580162,1,1
168,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.60299018,7.971002765,1,1
169,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.52342124,10.60965782,1,1
166,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.63372386,4.366683739,1,1
170,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.12408264,5.802290059,1,1
171,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.65467747,8.604487372,1,1
174,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.07864855,8.090262051,1,1
173,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.05908897,8.440519073,1,1
172,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.83355262,6.328636376,1,1
175,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.58009452,5.227991114,1,1
177,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.15564366,7.736252237,1,1
176,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.3267114,7.012254841,1,1
180,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.59285945,4.536915871,1,1
178,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.0599399,6.397292377,1,1
181,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.22938553,7.632057889,1,1
179,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.14396932,7.743429012,1,1
183,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.63411021,8.015492214,1,1
182,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.38134597,8.285427668,1,1
184,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.13405605,8.801303713,1,1
185,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.14218139,7.211965273,1,1
187,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.2797385,6.618176235,1,1
186,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.30405544,8.415991586,1,1
189,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.65243029,4.845966944,1,1
191,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.57038046,7.940987986,1,1
193,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.75497344,9.513405132,1,1
190,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.4452468,6.687342481,1,1
188,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,9.957613722,9.587216036,1,1
195,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.23813208,7.519856587,1,1
194,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,9.91487529,8.975469711,1,1
192,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.1943306,5.251114317,1,1
196,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.34457106,7.2772728,1,1
197,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.70456613,7.560103128,1,1
201,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.33535592,7.308760464,1,1
200,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.56263649,5.26843522,1,1
199,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.72528249,5.981075496,1,1
204,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.61507626,9.646018563,1,1
203,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.00927168,8.009955446,1,1
202,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.63197271,8.108917521,1,1
198,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.02806185,6.832565166,1,1
208,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.27718049,8.82742262,1,1
207,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.89510362,8.345243864,1,1
210,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.67938988,4.563840119,1,1
209,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.12744856,7.226324039,1,1
205,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.51767811,5.955089509,1,1
212,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,9.961929662,9.445207948,1,1
206,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,9.919509513,9.731050585,1,1
